City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,dicabisagan,17.0818,122.4157,296.51,90,71,0.46,PH,1675632937
309,seoul,37.5683,126.9778,271.84,100,40,0.51,KR,1675632114
310,aksarka,66.5606,67.7975,246.93,100,67,0.65,RU,1675632937
311,severo-kurilsk,50.6789,156.125,269.42,76,98,2.67,RU,1675632938
312,zhigalovo,54.8097,105.1578,254.63,100,99,1.21,RU,1675632938
313,kijang,35.2442,129.2139,272.0,38,70,2.07,KR,1675632938
314,poum,-20.2333,164.0167,301.92,80,100,8.95,NC,1675632939
315,sergeyevka,53.88,67.4158,258.07,96,98,2.82,KZ,1675632939
316,srednekolymsk,67.45,153.6833,237.1,99,100,2.41,RU,1675632939
317,saint george,37.1041,-113.5841,290.34,36,0,8.75,US,1675632758
318,baykit,61.67,96.37,259.34,99,100,0.99,RU,1675632672
319,yenagoa,4.9247,6.2642,299.34,84,100,3.05,NG,1675632940
320,abha,18.2164,42.5053,285.29,33,0,3.09,SA,1675632941
321,christchurch,-43.5333,172.6333,299.26,41,1,6.17,NZ,1675632739
322,lufilufi,-13.8745,-171.5986,303.03,76,54,5.38,WS,1675632941
323,constitucion,-35.3333,-72.4167,291.54,78,17,3.51,CL,1675632942
324,axim,4.8699,-2.2405,300.1,87,100,3.96,GH,1675632781
325,pacific grove,36.6177,-121.9166,287.05,76,75,7.2,US,1675632942
326,horasan,40.0458,42.1728,268.48,96,100,1.65,TR,1675632943
327,ewa beach,21.3156,-158.0072,300.12,64,40,4.12,US,1675632943
328,iseyin,7.9667,3.6,301.13,64,100,3.44,NG,1675632943
329,muhos,64.808,25.9931,266.42,94,100,1.72,FI,1675632944
330,mundra,22.85,69.7333,292.73,75,7,4.27,IN,1675632944
331,egvekinot,66.3167,-179.1667,243.91,87,100,5.38,RU,1675632945
332,acapulco,16.8634,-99.8901,303.05,62,0,1.54,MX,1675632784
333,zarichne,51.8126,26.129,268.37,78,100,3.53,UA,1675632946
334,butembo,0.15,29.2833,291.3,46,61,1.28,CD,1675632946
335,colares,38.7992,-9.4469,286.98,51,0,3.13,PT,1675632946
336,sohag,26.557,31.6948,285.31,42,36,2.22,EG,1675632947
337,oistins,13.0667,-59.5333,299.2,73,75,9.77,BB,1675632670
338,gamut,8.5303,126.2422,295.64,96,100,0.72,PH,1675632948
339,upata,8.0086,-62.3989,301.03,63,88,3.63,VE,1675632948
340,mokhotlong,-29.2894,29.0675,285.3,76,53,1.28,LS,1675632948
341,maxixe,-23.8597,35.3472,295.67,92,2,2.81,MZ,1675632949
342,necochea,-38.5473,-58.7368,299.29,46,52,2.83,AR,1675632949
343,igbo ora,7.4333,3.2833,300.32,73,100,3.08,NG,1675632950
344,kaohsiung,22.6163,120.3133,292.12,84,20,1.03,TW,1675632950
345,itarema,-2.9248,-39.9167,299.19,80,71,5.32,BR,1675632950
346,caravelas,-17.7125,-39.2481,299.11,81,0,4.94,BR,1675632951
347,binga,-17.6203,27.3414,294.87,88,85,0.62,ZW,1675632951
348,buala,-8.145,159.5921,298.33,91,100,4.32,SB,1675632951
349,makakilo city,21.3469,-158.0858,300.33,63,40,9.77,US,1675632952
350,pangnirtung,66.1451,-65.7125,241.15,68,75,1.03,CA,1675632832
351,longyearbyen,78.2186,15.6401,271.06,74,75,9.26,SJ,1675632952
352,klyuchi,52.2667,79.1667,263.27,96,100,2.09,RU,1675632953
353,sioux lookout,50.1001,-91.917,261.19,61,40,3.09,CA,1675632953
354,tasiilaq,65.6145,-37.6368,268.24,95,100,2.47,GL,1675632839
355,atasu,48.6814,71.6433,267.42,96,100,2.55,KZ,1675632954
356,alofi,-19.0595,-169.9187,299.09,83,90,3.09,NU,1675632954
357,sibolga,1.7427,98.7792,296.15,96,100,1.47,ID,1675632955
358,ballitoville,-29.539,31.2144,297.73,83,20,2.06,ZA,1675632955
359,castillo de teayo,20.75,-97.6167,300.4,57,13,2.67,MX,1675632957
360,coahuayana,18.7333,-103.6833,303.42,44,0,3.26,MX,1675632957
361,mahebourg,-20.4081,57.7,299.96,83,40,2.06,MU,1675632943
362,saint-dizier,48.4167,5.0833,277.93,89,100,6.61,FR,1675632958
363,nuuk,64.1835,-51.7216,261.97,85,100,2.68,GL,1675632958
